cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
22984	236.13943646073005	3.3709505	-1		
3674	236.1491556922719	0.801751	7245		
1445	236.14916427361808	0.6245513	7245		
100940	236.15882209009536	9.86949	7376		
75064	236.1632856263749	7.4420495	-1		
67386	236.1637248519085	6.7716684	-1		
72649	236.1642019541428	7.2017016	4741		
77346	236.1642192234668	7.7014036	-1		
16477	236.1644183903851	2.7642262	1393		
35052	236.16441312783715	4.3355556	-1		
18123	236.16444022805945	2.8746827	1393		
41812	236.1644661157091	4.8422036	-1		
32790	236.1644713788248	4.161484	-1		
37054	236.16448258473028	4.4619174	-1		
39928	236.1644998109425	4.6831465	-1		
38417	236.1645004070801	4.6021585	5337		
51790	236.16450964138443	5.5790777	-1		
45683	236.1645157829448	5.1185656	-1		
44562	236.1645184725188	5.0712333	15		
110379	236.1724846888546	10.368093	-1		
81521	236.17250341836623	8.117223	-1		
87135	236.17251467123577	8.744257	-1		
86538	236.1745307023749	8.695874	2702		
85295	236.1756437596513	8.588274	2702		
52792	236.17573448394893	5.6469254	-1		
31613	236.1806258622193	4.0620794	1672		
24309	236.185519611901	3.4326932	-1		
70539	236.18552037775785	7.0182285	-1		
23041	236.1855394059721	3.3758907	-1		
8170	236.18565076801823	1.2292378	-1		
54109	236.20081057635937	5.7452006	9767	54109.0	procainamide - 30.0 eV
67255	236.2008155430063	6.7424197	15		
71390	236.2008560956161	7.081464	15		
73395	236.2008711003047	7.2404647	-1		
10566	236.9385831223736	1.6865063	1409		
1885	236.94726554901203	0.6588945	1409		
74145	236.9883295654868	7.34088	-1		
